Size,Threads,ExecutionType,Time,Speedup,Efficiency,Result
100,1,Serial,0.000012,1.0,100,2.800967
100,2,Parallel,0.000926,0.012852,0.642618,2.800967
100,4,Parallel,0.000328,0.036247,0.906183,2.800967
500,1,Serial,0.000010,1.0,100,2.740677
500,2,Parallel,0.000140,0.072909,3.645461,2.740677
500,4,Parallel,0.000238,0.042821,1.070529,2.740677
1000,1,Serial,0.000020,1.0,100,2.733003
1000,2,Parallel,0.000087,0.224256,11.212815,2.733003
1000,4,Parallel,0.000178,0.110174,2.754356,2.733003
5000,1,Serial,0.000132,1.0,100,2.726842
5000,2,Parallel,0.000111,1.196380,59.819004,2.726842
5000,4,Parallel,0.000263,0.503236,12.580891,2.726842
10000,1,Serial,0.000186,1.0,100,2.726070
10000,2,Parallel,0.000281,0.660142,33.007117,2.726070
10000,4,Parallel,0.000496,0.374294,9.357345,2.726070
50000,1,Serial,0.000923,1.0,100,2.725453
50000,2,Parallel,0.000582,1.584993,79.249657,2.725453
50000,4,Parallel,0.000629,1.466868,36.671699,2.725453
100000,1,Serial,0.001886,1.0,100,2.725376
100000,2,Parallel,0.001943,0.970511,48.525552,2.725376
100000,4,Parallel,0.001005,1.876418,46.910448,2.725376
500000,1,Serial,0.009536,1.0,100,2.725314
500000,2,Parallel,0.005017,1.900606,95.030295,2.725314
500000,4,Parallel,0.003492,2.730529,68.263229,2.725314
1000000,1,Serial,0.019054,1.0,100,2.725306
1000000,2,Parallel,0.010586,1.799994,89.999717,2.725306
1000000,4,Parallel,0.006397,2.978615,74.465374,2.725306
5000000,1,Serial,0.093705,1.0,100,2.725300
5000000,2,Parallel,0.050821,1.843841,92.192060,2.725300
5000000,4,Parallel,0.033993,2.756614,68.915347,2.725300
10000000,1,Serial,0.182126,1.0,100,2.725299
10000000,2,Parallel,0.100096,1.819515,90.975763,2.725299
10000000,4,Parallel,0.063026,2.889709,72.242716,2.725299
50000000,1,Serial,0.892211,1.0,100,2.725299
50000000,2,Parallel,0.464082,1.922530,96.126500,2.725299
50000000,4,Parallel,0.268551,3.322310,83.057762,2.725299
100000000,1,Serial,1.769603,1.0,100,2.725299
100000000,2,Parallel,0.903596,1.958401,97.920055,2.725299
100000000,4,Parallel,0.495068,3.574467,89.361687,2.725299
500000000,1,Serial,8.856585,1.0,100,2.725298
500000000,2,Parallel,4.756490,1.862000,93.100016,2.725298
500000000,4,Parallel,2.637905,3.357432,83.935794,2.725298
