Size,Threads,ExecutionType,Time,Speedup,Efficiency
100,1,Serial,3e-07,1.0,100
100,2,Parallel,0.0009169,0.000327189,0.0163594
100,4,Parallel,0.0002972,0.00100942,0.0252355
500,1,Serial,1.2e-06,1.0,100
500,2,Parallel,5.97e-05,0.0201005,1.00503
500,4,Parallel,0.000184,0.00652174,0.163043
1000,1,Serial,2.5e-06,1.0,100
1000,2,Parallel,6.53e-05,0.0382848,1.91424
1000,4,Parallel,0.0002063,0.0121183,0.302957
5000,1,Serial,1.7e-05,1.0,100
5000,2,Parallel,6.37e-05,0.266876,13.3438
5000,4,Parallel,0.0003305,0.0514372,1.28593
10000,1,Serial,2.33e-05,1.0,100
10000,2,Parallel,0.0001208,0.192881,9.64404
10000,4,Parallel,0.0003174,0.0734089,1.83522
50000,1,Serial,0.0001242,1.0,100
50000,2,Parallel,0.0001707,0.727592,36.3796
50000,4,Parallel,0.0003068,0.404824,10.1206
100000,1,Serial,0.0002574,1.0,100
100000,2,Parallel,0.0002551,1.00902,50.4508
100000,4,Parallel,0.000347,0.741787,18.5447
500000,1,Serial,0.0014433,1.0,100
500000,2,Parallel,0.000869,1.66087,83.0437
500000,4,Parallel,0.0007972,1.81046,45.2615
1000000,1,Serial,0.0026046,1.0,100
1000000,2,Parallel,0.0019012,1.36998,68.4988
1000000,4,Parallel,0.0011371,2.29056,57.2641
5000000,1,Serial,0.0117483,1.0,100
5000000,2,Parallel,0.0068423,1.71701,85.8505
5000000,4,Parallel,0.0040652,2.88997,72.2492
10000000,1,Serial,0.0236195,1.0,100
10000000,2,Parallel,0.0129708,1.82097,91.0487
10000000,4,Parallel,0.0097376,2.4256,60.6399
50000000,1,Serial,0.116908,1.0,100
50000000,2,Parallel,0.0633914,1.84423,92.2113
50000000,4,Parallel,0.0405172,2.88539,72.1349
100000000,1,Serial,0.233706,1.0,100
100000000,2,Parallel,0.122151,1.91327,95.6633
100000000,4,Parallel,0.0881061,2.65256,66.3139
500000000,1,Serial,1.20906,1.0,100
500000000,2,Parallel,0.638357,1.89402,94.7012
500000000,4,Parallel,0.414879,2.91426,72.8564
